State,County,Total Population,Young Children (0–4 years),Children (5–14 years),Adolescents (15–19 years),Young Adults (20–24 years),Emerging Workforce (25–34 years),Prime Working Age (35–54 years),Pre-Retirement (55–64 years),Seniors (65+ years),Diversity Index,Hispanic or Latino Population,Non-Hispanic or Latino Population,Hispanic or Latino Percentage,Non-Hispanic or Latino Percentage,State_Abbr
Alaska,Yakutat City and Borough,506.0,29.0,23.0,16.0,40.0,61.0,121.0,76.0,140.0,0.7835226296302082,24.0,482.0,4.743083003952569,95.25691699604744,AK
Alaska,Yukon-Koyukuk Census Area,5271.0,356.0,827.0,252.0,357.0,695.0,1187.0,727.0,870.0,0.501710929182602,109.0,5162.0,2.06791880098653,97.93208119901347,AK
Arizona,Apache County,65680.0,3939.0,10121.0,5118.0,4029.0,8537.0,14725.0,8549.0,10662.0,0.43709781563732764,4092.0,61588.0,6.230207064555421,93.76979293544458,AZ
Arizona,Cochise County,125458.0,6533.0,15043.0,7717.0,6906.0,15284.0,27408.0,16247.0,30320.0,0.5053044467307116,43077.0,82381.0,34.335793652058854,65.66420634794115,AZ
Arizona,Coconino County,144643.0,7045.0,16434.0,15309.0,18259.0,20053.0,31239.0,16104.0,20200.0,0.6003107386334072,22034.0,122609.0,15.23336767074798,84.76663232925202,AZ
Arizona,Gila County,53610.0,2377.0,6013.0,2571.0,2521.0,5231.0,10240.0,8368.0,16289.0,0.5045705877815352,9529.0,44081.0,17.774668905055027,82.22533109494498,AZ
Arizona,Graham County,38860.0,2540.0,5953.0,2813.0,2779.0,5736.0,9578.0,3915.0,5546.0,0.521650118972285,11769.0,27091.0,30.2856407617087,69.71435923829131,AZ
Arizona,Greenlee County,9452.0,709.0,1459.0,689.0,565.0,1152.0,2514.0,1045.0,1319.0,0.5208349190304973,4396.0,5056.0,46.50867541261109,53.49132458738891,AZ
Arizona,La Paz County,16605.0,702.0,1441.0,537.0,688.0,1280.0,2951.0,1994.0,7012.0,0.5732485426430095,4230.0,12375.0,25.474254742547426,74.52574525745257,AZ
Arizona,Maricopa County,4491987.0,257715.0,582389.0,302579.0,295799.0,654305.0,1152824.0,528297.0,718079.0,0.5639825531978211,1387720.0,3104267.0,30.89323277204498,69.10676722795502,AZ
Arizona,Mohave County,217420.0,8827.0,20228.0,10033.0,8878.0,22142.0,42528.0,35383.0,69401.0,0.3242230570243231,36295.0,181125.0,16.693496458467482,83.30650354153252,AZ
Arizona,Navajo County,107744.0,6583.0,16007.0,7530.0,5815.0,12946.0,23395.0,14377.0,21091.0,0.6030036026033483,11466.0,96278.0,10.641891891891891,89.35810810810811,AZ
Arizona,Pima County,1049947.0,52285.0,118966.0,69449.0,88847.0,135919.0,234927.0,127480.0,222074.0,0.5580517967758855,379548.0,670399.0,36.14925324802109,63.85074675197891,AZ
Arizona,Pinal County,449219.0,24015.0,56399.0,26748.0,24647.0,59636.0,109716.0,52304.0,95754.0,0.5335627686300749,131771.0,317448.0,29.333354110133364,70.66664588986663,AZ
Arizona,Santa Cruz County,48209.0,3063.0,7240.0,3623.0,2982.0,5685.0,10802.0,5691.0,9123.0,0.6026310508114534,39875.0,8334.0,82.71277147420606,17.28722852579394,AZ
Arizona,Yavapai County,241656.0,9087.0,21403.0,12184.0,10395.0,21845.0,46045.0,39819.0,80878.0,0.3047495988039398,36225.0,205431.0,14.990316813983513,85.00968318601649,AZ
Arizona,Yuma County,207685.0,14079.0,28714.0,14592.0,15631.0,28916.0,43419.0,20148.0,42186.0,0.6316247532984949,133743.0,73942.0,64.3970435996822,35.60295640031779,AZ
Arkansas,Arkansas County,16773.0,1016.0,2347.0,896.0,874.0,1941.0,3976.0,2381.0,3342.0,0.4365056182123249,661.0,16112.0,3.9408573302331127,96.05914266976689,AR
Arkansas,Ashley County,18722.0,1141.0,2329.0,1210.0,994.0,2083.0,4369.0,2604.0,3992.0,0.44713643434980355,1157.0,17565.0,6.179895310330093,93.8201046896699,AR
Arkansas,Baxter County,42150.0,1784.0,4201.0,2262.0,1746.0,3930.0,8836.0,6293.0,13098.0,0.13433401299375647,1157.0,40993.0,2.7449584816132857,97.25504151838672,AR
Arkansas,Benton County,294541.0,19697.0,42952.0,20238.0,17123.0,43321.0,79550.0,31503.0,40157.0,0.5110168889416272,53388.0,241153.0,18.12582968075752,81.87417031924248,AR
Arkansas,Boone County,37896.0,2043.0,4948.0,2402.0,1937.0,4562.0,8962.0,5099.0,7943.0,0.1096163587876181,1120.0,36776.0,2.955457040320878,97.04454295967912,AR
Arkansas,Bradley County,10354.0,626.0,1597.0,633.0,566.0,1236.0,2504.0,1273.0,1919.0,0.5828851434941902,1618.0,8736.0,15.626810894340352,84.37318910565965,AR
